,carat,potongan,warna,kejernihan,kedalaman,lebar,x,y,z,harga
47622,0.55,b'Premium',b'E',b'VS2',61.5,56.0,5.28,5.25,3.24,28215000
10418,1.01,b'Good',b'G',b'SI1',63.3,59.0,6.24,6.31,3.97,71715000
32902,0.44,b'Premium',b'H',b'VS2',61.3,58.0,4.88,4.91,3.0,12150000
23338,1.5,b'Ideal',b'E',b'SI1',62.0,55.0,7.32,7.4,4.56,170775000
22083,1.07,b'Ideal',b'E',b'VVS2',61.7,57.0,6.55,6.61,4.06,151560000
52783,0.72,b'Very Good',b'E',b'SI1',62.9,54.0,5.72,5.76,3.61,38505000
3464,0.84,b'Very Good',b'I',b'VVS2',61.7,56.0,6.03,6.07,3.74,50880000
11045,0.25,b'Ideal',b'F',b'VS1',61.8,56.0,4.07,4.09,,8925000
2918,0.91,b'Very Good',b'G',b'SI2',62.1,55.0,6.16,6.21,,49305000
33394,0.31,b'Ideal',b'F',b'VVS1',62.4,55.0,4.33,4.36,2.71,12420000
12786,1.0,b'Fair',b'D',b'SI1',65.5,60.0,6.18,6.12,4.03,79965000
19970,1.5,b'Good',b'D',b'SI2',63.8,58.0,7.2,7.16,4.58,127770000
33234,0.42,b'Ideal',b'G',b'VS1',61.0,56.0,4.82,4.86,2.95,12345000
7140,1.03,b'Good',b'D',b'SI2',57.6,58.0,6.6,6.67,3.82,62655000
11618,1.01,b'Very Good',b'G',b'SI1',62.8,56.0,6.35,6.43,4.01,75735000
11811,1.21,b'Ideal',b'I',b'SI2',60.6,56.0,6.92,6.94,4.2,76365000
18013,1.01,b'Premium',b'E',b'VS2',59.2,59.0,6.67,6.6,3.93,109305000
49921,0.73,b'Ideal',b'J',b'SI1',62.0,55.0,5.75,5.86,3.6,32760000
40339,0.39,b'Premium',b'E',b'VVS2',61.1,59.0,4.68,4.74,2.88,16935000
19414,1.55,b'Premium',b'I',b'SI2',58.2,59.0,7.73,7.63,4.47,121035000
21815,1.34,b'Ideal',b'G',b'VS1',62.7,57.0,7.04,7.1,4.43,148350000
28423,0.38,b'Ideal',b'J',b'VVS2',61.7,54.6,4.65,4.69,2.89,10050000
19483,1.04,b'Ideal',b'G',b'VVS1',62.5,55.0,6.45,6.54,4.06,121800000
35302,0.3,b'Good',b'H',b'VS2',63.5,54.0,4.27,4.3,2.72,7095000
3429,0.76,b'Ideal',b'D',b'VS2',61.2,57.0,5.91,5.89,3.61,50760000
6667,0.92,b'Premium',b'D',b'SI2',62.4,60.0,6.25,6.21,3.89,61440000
41336,0.5,b'Premium',b'D',b'SI1',59.1,61.0,5.18,5.07,3.03,18225000
4010,0.9,b'Very Good',b'F',b'SI2',62.4,59.0,6.12,6.16,3.83,52785000
45563,0.52,b'Ideal',b'E',b'VS2',61.8,55.0,5.17,5.19,3.2,25335000
14213,1.27,b'Ideal',b'F',b'SI1',61.8,57.0,6.96,6.89,4.28,86415000
36344,0.32,b'Ideal',b'H',b'VVS1',61.9,55.0,4.38,4.37,2.71,14040000
25221,1.7,b'Ideal',b'H',b'VS1',62.4,55.0,7.61,7.69,4.77,207345000
39258,0.38,b'Ideal',b'E',b'VS1',62.1,56.0,4.65,4.62,2.88,16035000
34307,0.29,b'Ideal',b'E',b'VVS2',62.0,55.0,4.27,4.25,2.64,12870000
11188,1.18,b'Premium',b'I',b'SI1',60.5,59.0,6.9,6.82,4.15,74340000
44363,0.55,b'Premium',b'D',b'SI1',62.7,59.0,,5.25,3.28,23700000
38649,0.44,b'Ideal',b'E',b'SI1',61.1,56.0,4.92,4.9,,15600000
34706,0.38,b'Ideal',b'I',b'VS1',61.5,56.0,,4.71,2.88,13110000
26083,1.54,b'Premium',b'E',b'VS2',62.7,58.0,7.37,7.33,4.61,229740000
43118,0.52,b'Ideal',b'D',b'SI2',62.5,56.0,5.12,5.08,3.19,20775000
42868,0.43,b'Ideal',b'F',b'VVS1',61.0,56.0,4.87,4.9,2.98,20370000
46987,0.46,b'Ideal',b'E',b'VVS1',62.6,53.0,,4.97,3.1,27240000
39495,0.41,b'Ideal',b'E',b'VS1',62.1,56.0,,4.78,2.96,16185000
24362,0.42,b'Ideal',b'J',b'VS1',62.3,53.0,4.83,4.86,3.02,9540000
19825,1.07,b'Ideal',b'G',b'VVS2',62.4,54.0,6.51,,4.08,125895000
50650,0.31,b'Good',b'E',b'SI1',63.5,55.0,4.31,4.35,2.75,8160000
27013,2.02,b'Ideal',b'H',b'SI1',62.4,58.0,8.07,8.03,5.02,257115000
33116,0.31,b'Ideal',b'D',b'VS2',62.1,55.0,4.38,4.32,,12240000
44158,0.6,b'Very Good',b'I',b'VVS2',63.7,57.4,5.36,5.41,3.42,23475000
52784,0.58,b'Ideal',b'F',b'VVS2',62.2,56.0,5.32,5.36,3.32,38505000
17824,1.5,b'Premium',b'H',b'SI2',61.4,62.0,7.4,7.25,4.49,107805000
9581,1.08,b'Ideal',b'G',b'SI2',61.9,57.0,6.57,6.55,4.06,69405000
6855,0.9,b'Fair',b'E',b'VS2',64.5,61.0,6.07,6.03,3.9,61875000
562,0.91,b'Very Good',b'I',b'SI2',62.8,61.0,6.15,6.18,3.87,42480000
53775,0.81,b'Ideal',b'F',b'SI2',62.9,57.0,5.97,5.93,3.74,40890000
46132,0.56,b'Ideal',b'H',b'VVS2',62.1,57.0,5.26,5.3,3.27,26175000
19648,1.51,b'Fair',b'H',b'SI1',65.8,62.0,7.1,7.06,4.66,123900000
12856,1.1,b'Ideal',b'E',b'SI2',61.6,56.0,6.66,6.63,4.09,80385000
52403,0.72,b'Ideal',b'I',b'VS2',62.2,56.0,5.69,5.75,3.56,37665000
38716,0.42,b'Good',b'E',b'VVS2',61.9,61.0,4.72,4.78,2.94,15630000
5541,0.71,b'Ideal',b'D',b'VVS2',61.3,57.0,5.7,5.81,,57840000
45002,0.57,b'Very Good',b'F',b'VS2',62.0,54.0,5.31,5.34,3.3,24555000
8359,1.01,b'Premium',b'E',b'SI1',62.4,58.0,6.37,6.42,3.99,65985000
11947,1.01,b'Good',b'E',b'SI1',63.4,60.0,6.3,6.34,4.01,76980000
53801,0.53,b'Ideal',b'D',b'VVS1',62.0,57.0,5.16,5.2,3.21,40980000
39851,0.38,b'Ideal',b'E',b'VVS2',61.6,55.0,,4.66,2.86,16500000
17758,1.13,b'Premium',b'G',b'VS2',61.9,58.0,6.7,6.67,4.14,107265000
13151,1.19,b'Premium',b'I',b'VS2',61.7,57.0,6.84,6.77,4.2,81585000
13229,1.29,b'Very Good',b'I',b'SI1',62.2,58.0,6.94,6.99,4.33,81945000
12346,1.0,b'Very Good',b'G',b'VS2',62.8,57.0,6.33,6.37,3.99,78405000
2316,0.72,b'Ideal',b'H',b'VS1',61.8,55.0,5.78,5.81,3.58,47505000
39084,0.41,b'Good',b'E',b'VVS2',63.1,58.0,4.72,4.75,2.99,15900000
3218,0.71,b'Premium',b'H',b'IF',62.9,60.0,5.74,5.67,3.59,50235000
22437,1.54,b'Premium',b'H',b'SI1',62.2,58.0,,7.32,4.59,156990000
11414,1.24,b'Ideal',b'F',b'SI2',60.0,56.0,7.03,7.0,,75000000
49936,0.58,b'Good',b'E',b'VS1',58.6,64.0,,5.46,3.18,32775000
35230,0.34,b'Good',b'H',b'VVS1',64.0,57.0,4.43,4.38,2.82,13395000
27138,1.67,b'Ideal',b'F',b'VS2',61.8,57.0,7.62,7.58,4.7,260265000
42938,0.32,b'Good',b'I',b'VS1',63.1,56.0,4.38,4.4,2.77,7575000
35003,0.42,b'Ideal',b'G',b'SI1',63.0,55.0,4.81,4.77,3.02,13230000
7048,0.93,b'Very Good',b'G',b'SI2',62.9,56.0,6.2,6.23,3.91,62445000
11149,1.07,b'Premium',b'E',b'SI2',61.3,59.0,6.58,6.64,4.05,74145000
38481,0.42,b'Ideal',b'D',b'VS2',61.4,56.0,4.8,4.84,2.96,15465000
46117,0.56,b'Premium',b'I',b'VVS1',60.6,59.0,,5.29,3.22,26145000
10609,1.1,b'Ideal',b'H',b'SI1',60.2,56.0,6.74,6.82,4.08,72405000
41280,0.31,b'Very Good',b'E',b'IF',61.5,59.0,4.34,4.37,2.68,18135000
28554,0.3,b'Premium',b'H',b'VS1',60.1,61.0,4.32,4.3,2.59,10125000
5837,1.0,b'Premium',b'I',b'VS2',62.7,62.0,6.32,6.27,3.95,58770000
22245,1.46,b'Ideal',b'G',b'VS2',62.3,56.0,7.28,7.2,4.51,154530000
2213,0.68,b'Very Good',b'G',b'IF',62.7,56.0,5.56,5.6,3.5,47145000
3919,1.02,b'Premium',b'G',b'SI2',61.8,58.0,6.47,,3.98,52440000
25526,1.61,b'Ideal',b'G',b'VS1',61.9,55.0,7.58,7.55,4.68,215115000
13588,1.01,b'Very Good',b'H',b'VS2',62.8,59.0,6.33,6.38,3.99,83385000
16622,1.07,b'Premium',b'G',b'VS2',62.9,59.0,6.52,6.49,4.09,99660000
53304,0.3,b'Premium',b'D',b'SI1',62.5,58.0,4.27,4.31,2.68,8280000
53545,0.82,b'Ideal',b'G',b'SI2',61.6,56.0,5.98,6.04,3.7,40380000
7926,1.01,b'Premium',b'F',b'SI2',59.6,59.0,6.59,6.52,3.91,64755000
11012,1.01,b'Ideal',b'D',b'SI2',61.6,57.0,6.42,6.46,3.97,73740000
7785,0.72,b'Ideal',b'E',b'VVS2',62.1,56.0,5.72,5.77,3.57,64275000
46577,0.56,b'Very Good',b'E',b'SI1',58.5,59.0,5.42,5.45,3.18,26775000
13131,1.05,b'Premium',b'E',b'SI1',61.2,58.0,6.57,6.53,4.01,81495000
41855,0.61,b'Premium',b'G',b'SI1',60.8,60.0,5.42,5.42,3.31,18825000
2255,0.72,b'Ideal',b'F',b'VS2',61.3,56.0,5.78,5.8,3.55,47265000
30987,0.37,b'Very Good',b'F',b'VS2',61.0,58.0,4.61,4.63,2.82,11190000
13969,1.11,b'Ideal',b'H',b'SI1',62.6,57.0,6.64,6.59,4.14,85320000
44068,0.55,b'Ideal',b'E',b'SI1',61.7,56.0,5.24,5.29,3.25,23265000
35292,0.3,b'Very Good',b'H',b'VS2',62.7,59.0,4.22,4.26,2.66,7095000
41281,0.58,b'Ideal',b'F',b'SI2',60.9,57.0,5.4,5.44,3.3,18135000
2083,1.01,b'Good',b'H',b'SI2',64.1,56.0,6.37,6.3,4.06,46665000
45666,0.53,b'Ideal',b'D',b'VS2',61.8,57.0,5.17,5.21,3.21,25410000
6777,1.02,b'Premium',b'H',b'SI2',60.9,58.0,6.53,6.41,3.94,61695000
16490,1.29,b'Ideal',b'H',b'SI1',61.6,57.0,7.0,6.95,4.3,98820000
9988,1.2,b'Very Good',b'I',b'SI1',63.3,57.0,6.7,6.66,4.23,70560000
43896,0.35,b'Ideal',b'I',b'VS2',61.4,55.0,4.54,4.58,2.8,7635000
15474,1.05,b'Ideal',b'D',b'SI1',60.7,60.0,6.52,6.56,3.97,92940000
5044,0.4,b'Ideal',b'G',b'SI2',62.1,53.0,4.75,4.78,2.96,8595000
43987,0.28,b'Good',b'G',b'VS2',61.8,61.0,4.2,4.21,2.6,5910000
13430,1.06,b'Ideal',b'I',b'VS2',60.3,57.0,6.61,6.66,4.01,82740000
16385,1.23,b'Very Good',b'H',b'SI1',62.3,58.0,6.79,6.83,4.24,98130000
5398,0.3,b'Premium',b'D',b'SI2',61.4,59.0,4.31,4.26,2.63,8610000
12103,1.22,b'Premium',b'I',b'SI2',62.9,56.0,6.84,6.79,4.29,77475000
5866,1.01,b'Premium',b'G',b'SI2',63.0,59.0,6.38,6.32,4.0,58845000
5580,1.0,b'Premium',b'H',b'SI2',61.0,61.0,6.31,6.27,,57960000
41064,0.4,b'Very Good',b'E',b'VVS1',62.9,56.0,4.67,4.71,2.95,17865000
34505,0.4,b'Very Good',b'G',b'VS1',61.5,58.0,4.72,4.74,2.91,13020000
48522,0.54,b'Ideal',b'G',b'VVS2',61.0,56.0,5.25,5.3,3.22,29775000
1415,0.9,b'Ideal',b'G',b'SI2',62.4,57.0,6.16,6.13,,44520000
11627,1.01,b'Good',b'D',b'VS1',56.8,61.0,6.5,6.45,3.68,75750000
6470,0.9,b'Very Good',b'F',b'SI1',63.3,57.0,6.1,6.16,,60810000
6881,1.16,b'Good',b'F',b'SI2',60.8,65.0,6.78,6.75,4.11,61965000
20508,1.7,b'Premium',b'I',b'VS1',61.5,58.0,7.74,7.64,4.73,132600000
36668,0.32,b'Ideal',b'F',b'IF',60.9,56.0,4.42,4.44,2.7,14235000
20707,0.31,b'Ideal',b'F',b'VS2',62.1,57.0,4.34,4.36,2.7,9375000
19149,1.55,b'Premium',b'J',b'VS2',60.7,59.0,7.47,7.5,4.54,118665000
4327,1.01,b'Fair',b'F',b'SI2',66.7,64.0,6.14,6.05,4.06,53955000
24879,1.7,b'Premium',b'H',b'VS2',62.4,57.0,7.6,7.54,4.72,199470000
48413,0.76,b'Premium',b'G',b'SI2',62.6,55.0,5.87,,3.66,29550000
4388,0.31,b'Ideal',b'D',b'SI1',61.0,57.0,4.38,4.41,2.68,8565000
23072,1.53,b'Premium',b'H',b'VS2',62.7,56.0,7.39,7.31,4.61,166560000
29310,0.31,b'Premium',b'H',b'VS1',59.7,58.0,4.43,4.41,2.64,10470000
6211,1.07,b'Very Good',b'I',b'SI1',58.4,60.0,6.68,6.78,,60015000
6079,1.02,b'Very Good',b'D',b'SI2',61.3,62.0,6.42,6.46,3.95,59565000
4722,0.33,b'Premium',b'I',b'SI1',62.8,58.0,4.43,4.39,2.77,8580000
22873,1.57,b'Premium',b'G',b'SI1',59.5,58.0,7.56,,4.51,163710000
30442,0.32,b'Premium',b'H',b'VVS1',61.5,59.0,4.37,4.41,2.7,10950000
24117,2.01,b'Very Good',b'I',b'SI1',63.5,55.0,8.07,8.01,5.11,184065000
15137,1.19,b'Very Good',b'H',b'VS2',61.1,58.0,6.81,6.83,4.17,91290000
38772,0.31,b'Ideal',b'E',b'VVS2',61.6,55.0,4.38,4.35,2.69,15690000
27804,0.35,b'Very Good',b'H',b'VVS2',61.0,57.0,4.54,4.57,2.77,9750000
10080,1.07,b'Good',b'D',b'SI2',61.0,62.0,6.6,6.68,4.05,70650000
1146,0.72,b'Very Good',b'E',b'VS2',63.0,57.0,5.69,5.73,3.6,43845000
18258,1.28,b'Ideal',b'G',b'SI1',62.4,58.0,6.89,6.95,4.32,111225000
50113,0.51,b'Ideal',b'E',b'VVS2',61.7,57.0,5.11,5.14,3.16,33135000
53862,0.71,b'Premium',b'E',b'SI1',62.7,56.0,5.71,5.64,3.56,41145000
27615,2.0,b'Premium',b'F',b'SI1',62.6,59.0,8.1,8.04,5.05,277395000
40798,0.43,b'Premium',b'F',b'VVS2',61.6,60.0,4.82,4.86,2.98,17535000
52589,0.96,b'Fair',b'G',b'SI2',66.8,61.0,6.15,6.04,4.07,38085000
7607,0.84,b'Very Good',b'G',b'VVS2',60.4,55.0,6.07,6.12,3.68,63885000
46236,0.55,b'Ideal',b'E',b'SI1',62.4,58.0,5.28,5.23,3.27,26280000
24009,2.11,b'Ideal',,b'SI2',61.5,57.0,8.3,8.25,5.09,182685000
51174,0.34,b'Ideal',b'D',b'IF',59.8,57.0,4.59,4.57,2.74,35190000
50710,0.77,b'Fair',b'I',b'VVS2',59.2,66.0,5.96,5.9,3.51,34380000
8331,1.09,b'Premium',b'H',b'SI2',61.2,62.0,6.63,6.58,4.04,65925000
52481,0.73,b'Premium',b'I',b'VVS2',61.5,58.0,5.78,5.73,3.54,37785000
25287,2.01,b'Very Good',b'G',b'SI2',61.3,60.0,8.08,8.17,4.98,209100000
48593,0.7,b'Good',b'I',b'SI1',63.6,55.0,5.62,5.58,3.56,29925000
38833,0.43,b'Ideal',b'E',b'VS2',62.8,56.0,4.86,4.79,3.03,15720000
25839,2.0,b'Good',b'I',b'VS2',63.5,59.0,,7.98,5.05,223335000
19832,1.51,b'Ideal',b'I',b'SI1',62.7,57.0,7.35,7.3,4.59,126000000
30313,0.4,b'Ideal',b'D',b'SI1',61.3,57.0,4.74,4.79,2.92,10890000
29034,0.31,b'Ideal',b'H',b'VVS1',61.4,54.0,4.4,,2.71,10305000
29437,0.38,b'Premium',b'I',b'VS1',59.9,60.0,4.66,4.72,2.81,10500000
42676,0.49,b'Very Good',b'D',b'VS2',64.0,53.0,4.94,4.99,3.18,20040000
2727,0.34,b'Ideal',b'E',b'SI1',62.6,55.0,4.46,4.49,2.8,8475000
10801,1.06,b'Premium',b'F',b'SI1',62.4,58.0,6.56,6.51,4.07,72930000
40255,0.3,b'Ideal',b'E',b'VVS2',61.4,55.0,4.36,4.34,2.67,16875000
24110,1.5,b'Ideal',b'E',b'SI1',60.4,59.0,7.38,7.43,4.47,183975000
41214,0.4,b'Ideal',b'F',b'VVS1',61.7,57.0,4.75,4.72,2.92,18090000
5436,1.05,b'Premium',b'G',b'SI2',60.1,60.0,6.58,6.66,3.98,57420000
41759,0.43,b'Very Good',b'E',b'VVS2',60.8,57.0,4.89,4.92,2.98,18675000
31880,0.3,b'Premium',b'H',b'VVS2',63.0,56.0,4.28,4.23,2.68,11640000
52832,0.7,b'Ideal',b'F',b'VS2',62.8,56.0,5.7,5.67,3.57,38595000
52331,0.78,b'Ideal',b'G',b'SI1',61.0,57.0,5.94,5.99,3.64,37440000
12117,1.07,b'Ideal',b'I',b'VS2',60.6,59.0,6.64,6.62,4.02,77505000
45197,0.51,b'Premium',b'G',b'VS1',62.5,58.0,5.09,5.11,3.19,24840000
37977,0.4,b'Very Good',b'G',b'VVS1',60.6,58.0,4.69,4.78,2.87,15120000
48612,0.51,b'Ideal',b'F',b'VVS2',61.9,56.0,5.13,5.15,3.18,29970000
37117,0.44,b'Good',b'F',b'SI1',63.8,54.0,4.85,4.8,3.08,14550000
44245,0.51,b'Premium',b'F',b'VS2',62.3,60.0,,5.07,3.17,23610000
2816,1.0,b'Fair',b'I',b'VS2',65.7,58.0,,6.2,4.09,48975000
42959,0.3,b'Premium',b'J',b'VS1',63.0,59.0,4.27,4.24,2.68,7590000
46438,0.58,b'Ideal',b'F',b'VS1',61.9,54.0,5.33,5.37,3.31,26580000
46353,0.61,b'Good',b'D',b'SI1',59.0,57.0,5.54,5.57,3.28,26385000
9487,1.01,b'Very Good',b'D',b'SI2',62.7,58.0,6.31,6.39,3.98,69090000
48631,0.34,b'Premium',b'J',b'VS2',62.3,60.0,4.49,4.46,2.79,8040000
37651,0.48,b'Good',b'J',b'SI1',64.4,58.0,4.87,4.92,3.15,14865000
43327,0.54,b'Very Good',,b'SI1',60.2,56.0,5.28,5.39,3.21,21060000
48609,0.7,b'Fair',b'E',b'SI2',64.4,58.0,5.58,5.51,3.57,29970000
45922,0.53,b'Ideal',b'E',b'VS2',61.4,56.0,5.21,5.24,3.21,25815000
38648,0.44,b'Ideal',b'F',b'SI1',61.0,57.0,4.91,4.89,2.99,15600000
12774,1.12,b'Premium',b'D',b'SI2',61.2,60.0,6.67,6.63,4.07,79935000
12230,1.05,b'Very Good',b'G',b'SI1',61.6,57.0,6.51,6.54,4.02,77955000
31295,0.32,b'Ideal',b'D',b'VS2',62.2,56.0,4.38,4.4,2.73,11370000
43101,0.57,b'Very Good',b'E',b'SI2',58.8,57.3,5.42,5.46,3.21,20760000
27441,2.29,b'Very Good',b'I',b'SI1',61.8,59.0,8.44,8.51,5.24,271020000
20608,1.2,b'Premium',b'G',b'VS1',62.0,58.0,6.76,6.73,4.18,133665000
31481,0.34,b'Premium',b'G',b'VS2',60.2,58.0,4.55,4.52,2.73,11475000
11770,1.0,b'Good',b'E',b'SI1',63.7,60.0,6.24,6.29,3.99,76230000
2915,1.04,b'Good',b'J',b'VS2',58.2,64.0,6.64,6.53,3.85,49275000
52672,0.71,b'Ideal',b'E',b'SI2',62.7,56.0,5.68,5.71,3.57,38250000
51783,0.81,b'Fair',b'I',b'VS2',64.6,59.0,5.83,5.78,3.75,36210000
37380,0.4,b'Ideal',b'F',b'VS1',62.7,55.0,4.74,4.76,2.98,14730000
33675,0.32,b'Ideal',b'E',b'VVS2',60.9,55.0,4.41,4.43,2.69,12555000
50361,0.77,b'Premium',b'F',b'SI2',61.6,58.0,5.9,5.88,3.63,33705000
30742,0.43,b'Ideal',b'F',b'SI1',61.3,56.0,4.86,4.9,2.99,11085000
8098,1.04,b'Ideal',b'I',b'SI1',61.7,57.0,6.49,6.54,4.02,65160000
42702,0.52,b'Premium',b'G',b'SI1',62.8,61.0,5.14,5.11,3.22,20070000
52442,0.72,b'Ideal',b'D',b'SI2',61.1,58.0,5.76,5.79,3.53,37710000
3793,0.71,b'Very Good',b'E',b'VS1',62.6,59.0,5.68,5.76,3.58,51960000
48828,0.71,b'Good',b'G',b'VS2',63.5,59.0,,5.67,3.59,30435000
30196,0.42,b'Good',b'F',b'SI1',63.6,57.0,4.7,4.76,3.01,10830000
19317,1.01,b'Ideal',b'G',b'VVS2',60.9,56.0,6.51,6.55,3.98,120435000
38087,0.3,b'Ideal',b'E',b'VVS2',61.7,55.0,4.31,4.28,2.65,15195000
21491,1.25,b'Ideal',b'F',b'VS1',62.0,55.0,6.91,6.95,4.3,143790000
28185,0.4,b'Premium',b'D',b'SI2',61.7,58.0,4.69,4.74,2.91,9990000
27583,2.29,b'Premium',b'J',b'IF',61.4,60.0,8.45,8.49,5.2,276390000
48359,0.56,b'Ideal',b'D',b'VS2',62.2,56.0,5.24,5.28,3.27,29445000
36314,0.32,b'Ideal',b'G',b'VVS2',61.1,55.0,4.45,4.42,2.71,14040000
53822,0.79,b'Premium',b'D',b'SI2',61.8,58.0,5.95,5.89,3.66,41025000
9447,1.02,b'Very Good',b'F',b'SI1',63.0,58.0,6.36,6.4,4.02,68910000
6530,0.9,b'Very Good',b'D',b'SI1',62.8,59.0,6.06,6.1,3.82,61020000
6237,0.75,b'Ideal',b'D',b'VS1',62.0,58.0,5.77,5.84,3.6,60105000
45200,0.51,b'Premium',b'E',b'VS2',60.3,59.0,5.2,5.22,3.14,24840000
36000,0.42,b'Ideal',b'G',b'VS1',62.0,55.0,4.78,4.83,2.98,13815000
19099,1.2,b'Premium',b'F',b'VS2',60.1,57.0,6.82,,,117975000
33881,0.3,b'Ideal',b'E',b'VS2',61.5,56.0,4.33,4.29,2.65,12660000
53160,0.72,b'Premium',b'E',b'VS2',60.4,59.0,5.74,5.78,3.48,39390000
46233,0.5,b'Ideal',b'D',b'VS2',62.6,56.0,5.05,5.08,3.17,26280000
53794,0.92,b'Premium',b'I',b'SI1',60.4,59.0,6.31,6.24,3.79,40950000
31610,0.23,b'Very Good',b'H',b'IF',63.9,55.0,3.89,3.9,2.49,5535000
42469,0.66,b'Ideal',b'J',b'VS2',62.1,55.0,5.6,5.64,3.49,19740000
3498,0.9,b'Good',b'E',b'SI1',64.3,62.0,6.0,6.07,3.88,51000000
34855,0.3,b'Good',b'G',b'VVS2',63.8,56.0,4.29,4.27,2.73,13170000
8569,1.2,b'Premium',b'J',b'VS2',58.0,59.0,6.98,6.92,4.03,66525000
51859,0.76,b'Premium',b'F',b'SI2',62.3,55.0,5.88,5.84,3.65,36375000
52711,0.74,b'Premium',b'E',b'SI2',59.1,60.0,5.98,5.94,3.52,38295000
42096,0.44,b'Ideal',b'E',b'VVS2',61.9,56.0,4.88,4.91,3.03,19110000
36882,0.31,b'Ideal',b'E',b'IF',62.2,53.0,4.35,4.4,2.72,14370000
40859,0.34,b'Ideal',b'F',b'VVS1',61.1,56.0,,4.53,2.76,17610000
21508,1.62,b'Ideal',b'I',b'VS2',62.4,57.0,7.45,7.51,4.67,144060000
35337,0.32,b'Ideal',b'G',b'IF',61.4,55.0,4.42,4.44,2.72,13470000
48503,0.57,b'Ideal',b'D',b'VS1',61.8,55.0,5.31,5.37,3.3,29730000
4618,0.91,b'Very Good',b'I',b'VS2',61.0,57.0,6.2,6.26,3.8,54960000
43536,0.51,b'Ideal',b'G',b'VS2',61.6,56.0,5.13,5.18,3.18,21405000
23685,1.52,b'Premium',b'F',b'SI1',62.6,59.0,7.36,7.27,4.58,176145000
38148,0.5,b'Very Good',b'I',b'VS1',63.1,56.0,5.07,5.01,3.18,15195000
25623,1.58,b'Ideal',b'F',b'SI1',61.9,55.0,7.52,,4.64,217425000
45507,0.52,b'Very Good',b'E',b'VS1',60.7,54.0,5.22,5.29,3.19,25230000
38856,0.4,b'Premium',b'G',b'VVS2',62.7,59.0,4.72,4.69,2.95,15750000
30839,0.33,b'Ideal',b'H',b'VS1',61.7,54.0,4.47,4.45,2.75,11145000
17063,0.32,b'Premium',b'G',b'SI1',62.6,58.0,4.37,4.35,2.73,9180000
37392,0.5,b'Ideal',b'I',b'SI1',62.0,55.0,5.09,5.14,3.17,14730000
21978,1.0,b'Very Good',b'F',b'IF',63.2,63.0,6.26,6.24,3.95,150690000
10421,1.22,b'Good',b'H',b'SI2',61.5,64.0,6.93,,4.25,71730000
13674,0.91,b'Very Good',b'D',b'VS1',62.5,56.0,6.14,6.18,3.85,83955000
17451,1.01,b'Ideal',b'D',b'VS2',59.8,56.0,6.49,6.52,3.89,104985000
14755,1.01,b'Premium',b'D',b'SI1',62.3,60.0,6.4,6.35,3.97,89085000
37336,0.43,b'Premium',b'E',b'VS2',61.6,59.0,4.81,4.84,2.97,14715000
39173,0.35,b'Premium',b'D',b'VS2',60.4,58.0,4.58,4.53,2.75,15945000
10221,1.31,b'Premium',b'F',b'SI2',62.7,61.0,7.03,6.86,4.36,71145000
20416,1.28,b'Ideal',b'G',b'VS2',62.2,57.0,6.99,6.94,4.33,131610000
