,transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity,line_item_amount,unit_price,promo_item_yn
34,199,2019-04-01,2023-09-21 14:24:55,3,12,112,Y,1,1,41,2,8.5,4.25,N
35,199,2019-04-01,2023-09-21 14:24:55,3,12,112,Y,1,5,79,1,3.75,3.75,N
36,202,2019-04-01,2023-09-21 17:26:58,3,17,437,N,1,1,37,2,6.0,3.0,N
37,212,2019-04-01,2023-09-21 17:03:21,3,17,552,N,1,1,50,1,2.5,2.5,N
38,219,2019-04-01,2023-09-21 15:03:55,3,12,194,Y,1,1,43,1,3.0,3.0,N
39,224,2019-04-01,2023-09-21 14:54:27,3,17,788,N,1,1,38,2,7.5,3.75,N
40,226,2019-04-01,2023-09-21 16:30:12,3,12,533,Y,1,1,40,1,3.75,3.75,N
41,227,2019-04-01,2023-09-21 12:09:11,3,17,521,N,1,1,28,2,4.0,2.0,N
42,238,2019-04-01,2023-09-21 15:48:10,3,17,512,Y,1,1,41,1,4.25,4.25,N
43,247,2019-04-01,2023-09-21 19:04:32,3,17,178,Y,1,1,23,1,2.5,2.5,N
44,248,2019-04-01,2023-09-21 14:30:49,3,12,416,Y,1,1,32,2,6.0,3.0,N
45,249,2019-04-01,2023-09-21 11:15:38,3,12,22,Y,1,1,52,1,2.5,2.5,N
46,260,2019-04-01,2023-09-21 18:14:31,3,12,642,Y,1,1,61,2,9.5,4.75,N
47,262,2019-04-01,2023-09-21 11:52:08,3,12,189,N,1,1,58,1,3.5,3.5,N
48,268,2019-04-01,2023-09-21 16:04:10,3,17,223,N,1,1,42,2,5.0,2.5,N
49,269,2019-04-01,2023-09-21 19:25:00,3,12,40,Y,1,1,53,1,3.0,3.0,N
50,270,2019-04-01,2023-09-21 11:27:00,3,17,344,N,1,1,49,1,3.0,3.0,N
51,276,2019-04-01,2023-09-21 16:10:37,3,12,401,N,1,1,42,2,5.0,2.5,N
52,281,2019-04-01,2023-09-21 11:27:06,3,12,189,N,1,1,31,2,4.4,2.2,N
53,290,2019-04-01,2023-09-21 14:58:35,3,12,517,N,1,1,43,1,3.0,3.0,N
54,296,2019-04-01,2023-09-21 14:49:18,3,17,328,Y,1,1,39,1,4.25,4.25,N
55,296,2019-04-01,2023-09-21 14:49:18,3,17,328,Y,1,5,79,1,3.75,3.75,N
56,297,2019-04-01,2023-09-21 12:05:26,3,12,331,N,1,1,48,2,5.0,2.5,N
57,298,2019-04-01,2023-09-21 18:30:05,3,17,414,N,1,1,55,2,8.0,4.0,N
58,317,2019-04-01,2023-09-21 19:57:08,3,12,567,N,1,1,48,1,2.5,2.5,N
59,325,2019-04-01,2023-09-21 19:23:13,3,12,526,N,1,1,22,2,4.0,2.0,N
60,326,2019-04-01,2023-09-21 12:05:31,3,12,659,N,1,1,52,2,5.0,2.5,N
61,334,2019-04-01,2023-09-21 18:12:37,3,17,492,N,1,1,25,2,4.4,2.2,N
62,337,2019-04-01,2023-09-21 18:14:17,3,17,655,Y,1,1,39,2,8.5,4.25,N
63,344,2019-04-01,2023-09-21 17:28:16,3,12,500,Y,1,1,41,1,4.25,4.25,N
64,357,2019-04-01,2023-09-21 15:34:10,3,12,530,N,1,1,41,2,8.5,4.25,N
65,357,2019-04-01,2023-09-21 15:34:10,3,12,530,N,1,5,76,1,3.5,3.5,N
66,360,2019-04-01,2023-09-21 15:30:57,3,17,114,Y,1,1,38,2,7.5,3.75,N
67,366,2019-04-01,2023-09-21 18:33:47,3,17,301,N,1,1,51,1,3.0,3.0,N
68,384,2019-04-01,2023-09-21 16:04:18,3,17,602,Y,1,1,54,2,5.0,2.5,N
69,385,2019-04-01,2023-09-21 11:32:46,3,12,565,Y,1,1,31,2,4.4,2.2,N
70,389,2019-04-01,2023-09-21 17:00:27,3,12,335,Y,1,1,29,1,2.5,2.5,N
71,390,2019-04-01,2023-09-21 12:20:37,3,12,52,Y,1,1,25,1,2.2,2.2,N
72,391,2019-04-01,2023-09-21 18:05:52,3,12,216,N,1,1,33,2,7.0,3.5,N
73,391,2019-04-01,2023-09-21 18:05:52,3,12,216,N,1,5,79,1,3.75,3.75,N
74,396,2019-04-01,2023-09-21 14:45:31,3,17,550,Y,1,1,47,1,3.0,3.0,N
75,405,2019-04-01,2023-09-21 19:31:31,3,17,481,N,1,1,26,2,6.0,3.0,N
76,411,2019-04-01,2023-09-21 12:23:27,3,12,516,N,1,1,22,2,4.0,2.0,N
77,413,2019-04-01,2023-09-21 16:03:50,3,17,508,N,1,1,31,1,2.2,2.2,N
78,413,2019-04-01,2023-09-21 16:03:50,3,17,508,N,1,5,76,1,3.5,3.5,N
79,421,2019-04-01,2023-09-21 19:52:28,3,17,717,N,1,1,34,2,4.9,2.45,N
80,422,2019-04-01,2023-09-21 14:14:08,3,17,641,Y,1,1,26,1,3.0,3.0,N
81,426,2019-04-01,2023-09-21 15:45:16,3,17,525,N,1,1,46,2,5.0,2.5,N
82,427,2019-04-01,2023-09-21 19:03:00,3,12,384,Y,1,1,22,1,2.0,2.0,N
83,429,2019-04-01,2023-09-21 12:56:59,3,17,784,Y,1,1,47,1,3.0,3.0,N
84,434,2019-04-01,2023-09-21 17:26:52,3,12,383,N,1,1,26,2,6.0,3.0,N
85,446,2019-04-01,2023-09-21 12:15:02,3,12,659,Y,1,1,50,2,5.0,2.5,N
86,447,2019-04-01,2023-09-21 14:51:44,3,17,235,Y,1,1,30,1,3.0,3.0,N
87,451,2019-04-01,2023-09-21 12:55:25,3,12,319,Y,1,1,49,1,3.0,3.0,N
88,457,2019-04-01,2023-09-21 16:17:06,3,12,647,N,1,1,34,2,4.9,2.45,N
89,459,2019-04-01,2023-09-21 18:09:04,3,17,320,Y,1,1,35,1,3.1,3.1,N
90,461,2019-04-01,2023-09-21 17:54:11,3,17,326,Y,1,1,56,2,5.1,2.55,N
91,470,2019-04-01,2023-09-21 18:38:00,3,12,122,Y,1,1,41,1,4.25,4.25,N
92,474,2019-04-01,2023-09-21 18:13:09,3,12,453,Y,1,1,59,1,4.5,4.5,N
93,480,2019-04-01,2023-09-21 16:37:34,3,17,185,N,1,1,26,2,6.0,3.0,N
94,483,2019-04-01,2023-09-21 19:15:15,3,12,393,N,1,1,55,1,4.0,4.0,N
95,490,2019-04-01,2023-09-21 16:24:40,3,12,392,Y,1,1,47,2,6.0,3.0,N
96,490,2019-04-01,2023-09-21 16:24:40,3,12,392,Y,1,5,74,1,3.5,3.5,N
97,494,2019-04-01,2023-09-21 18:25:42,3,12,241,N,1,1,35,1,3.1,3.1,N
98,495,2019-04-01,2023-09-21 18:51:23,3,17,777,N,1,1,24,2,6.0,3.0,N
99,497,2019-04-01,2023-09-21 16:49:38,3,12,407,Y,1,1,52,1,2.5,2.5,N
100,501,2019-04-01,2023-09-21 16:16:43,3,17,659,N,1,1,39,1,4.25,4.25,N
101,510,2019-04-01,2023-09-21 15:15:17,3,12,288,Y,1,1,35,2,6.2,3.1,N
102,510,2019-04-01,2023-09-21 15:15:17,3,12,288,Y,1,5,79,1,3.75,3.75,N
103,511,2019-04-01,2023-09-21 18:07:54,3,12,15,N,1,1,26,2,6.0,3.0,N
104,513,2019-04-01,2023-09-21 11:08:11,3,17,486,Y,1,1,59,1,4.5,4.5,N
105,516,2019-04-01,2023-09-21 16:02:33,3,12,206,Y,1,1,43,2,6.0,3.0,N
106,516,2019-04-01,2023-09-21 16:02:33,3,12,206,Y,1,5,71,1,3.75,3.75,N
107,523,2019-04-01,2023-09-21 14:00:44,3,17,315,N,1,1,25,1,2.2,2.2,N
108,528,2019-04-01,2023-09-21 17:12:46,3,17,197,Y,1,1,55,2,8.0,4.0,N
109,529,2019-04-01,2023-09-21 19:49:37,3,12,329,N,1,1,36,1,3.75,3.75,N
110,530,2019-04-01,2023-09-21 19:28:35,3,17,184,Y,1,1,55,1,4.0,4.0,N
111,534,2019-04-01,2023-09-21 18:52:34,3,17,474,N,1,1,22,1,2.0,2.0,N
112,537,2019-04-01,2023-09-21 12:18:27,3,17,706,Y,1,1,38,1,3.75,3.75,N
113,539,2019-04-01,2023-09-21 17:18:36,3,17,384,Y,1,1,29,1,2.5,2.5,N
114,541,2019-04-01,2023-09-21 19:17:34,3,12,537,Y,1,1,52,2,5.0,2.5,N
115,546,2019-04-01,2023-09-21 18:49:48,3,17,128,N,1,1,27,1,3.5,3.5,N
116,550,2019-04-01,2023-09-21 11:12:39,3,17,349,Y,1,1,22,2,4.0,2.0,N
117,554,2019-04-01,2023-09-21 17:11:09,3,17,245,N,1,1,25,1,2.2,2.2,N
118,555,2019-04-01,2023-09-21 18:23:47,3,17,244,N,1,1,32,2,6.0,3.0,N
119,558,2019-04-01,2023-09-21 13:44:48,3,12,65,Y,1,1,56,1,2.55,2.55,N
120,562,2019-04-01,2023-09-21 13:03:13,3,12,616,N,1,1,43,2,6.0,3.0,N
121,565,2019-04-01,2023-09-21 11:45:11,3,12,284,N,1,1,51,2,6.0,3.0,N
122,566,2019-04-01,2023-09-21 12:20:16,3,17,384,Y,1,1,60,2,7.5,3.75,N
123,575,2019-04-01,2023-09-21 17:41:55,3,17,269,N,1,1,55,2,8.0,4.0,N
124,575,2019-04-01,2023-09-21 17:41:55,3,17,269,N,1,5,71,1,3.75,3.75,N
125,580,2019-04-01,2023-09-21 11:15:17,3,17,736,N,1,1,54,2,5.0,2.5,N
126,585,2019-04-01,2023-09-21 17:58:05,3,17,385,N,1,1,52,2,5.0,2.5,N
127,586,2019-04-01,2023-09-21 15:14:19,3,12,25,Y,1,1,26,2,6.0,3.0,N
128,588,2019-04-01,2023-09-21 12:45:52,3,17,200,Y,1,1,28,2,4.0,2.0,N
129,590,2019-04-01,2023-09-21 16:39:24,3,17,450,Y,1,1,36,1,3.75,3.75,N
130,591,2019-04-01,2023-09-21 16:32:46,3,17,644,N,1,1,51,2,6.0,3.0,N
131,593,2019-04-01,2023-09-21 18:18:10,3,17,482,N,1,1,59,1,4.5,4.5,N
132,599,2019-04-01,2023-09-21 12:58:29,3,12,83,N,1,1,41,1,4.25,4.25,N
133,601,2019-04-01,2023-09-21 11:47:57,3,17,199,N,1,1,23,1,2.5,2.5,N
134,601,2019-04-01,2023-09-21 11:47:57,3,17,199,N,1,5,69,1,3.25,3.25,N
135,602,2019-04-01,2023-09-21 16:22:38,3,12,425,N,1,1,22,1,2.0,2.0,N
136,610,2019-04-01,2023-09-21 15:30:16,3,12,222,Y,1,1,43,1,3.0,3.0,N
137,611,2019-04-01,2023-09-21 11:17:40,3,17,776,N,1,1,51,2,6.0,3.0,N
138,616,2019-04-01,2023-09-21 11:30:18,3,12,190,N,1,1,30,2,6.0,3.0,N
139,625,2019-04-01,2023-09-21 18:34:46,3,12,729,Y,1,1,25,2,4.4,2.2,N
140,625,2019-04-01,2023-09-21 18:34:46,3,12,729,Y,1,5,77,1,3.0,3.0,N
141,641,2019-04-01,2023-09-21 16:48:51,3,12,749,Y,1,1,59,1,4.5,4.5,N
142,646,2019-04-01,2023-09-21 18:16:21,3,12,281,Y,1,1,54,2,5.0,2.5,N
143,660,2019-04-01,2023-09-21 19:58:29,3,17,362,Y,1,1,55,1,4.0,4.0,N
144,675,2019-04-01,2023-09-21 15:29:24,3,17,271,Y,1,1,57,1,3.1,3.1,N
145,675,2019-04-01,2023-09-21 15:29:24,3,17,271,Y,1,5,70,1,3.25,3.25,N
146,676,2019-04-01,2023-09-21 11:09:01,3,12,289,N,1,1,59,1,4.5,4.5,N
147,677,2019-04-01,2023-09-21 14:01:57,3,12,124,Y,1,1,36,2,7.5,3.75,N
148,684,2019-04-01,2023-09-21 11:57:17,3,12,693,Y,1,1,37,2,6.0,3.0,N
149,691,2019-04-01,2023-09-21 17:39:57,3,12,602,N,1,1,25,1,2.2,2.2,N
150,691,2019-04-01,2023-09-21 17:39:57,3,12,602,N,1,5,77,1,3.0,3.0,N
151,693,2019-04-01,2023-09-21 18:13:19,3,17,376,Y,1,1,60,2,7.5,3.75,N
152,694,2019-04-01,2023-09-21 14:19:10,3,12,251,Y,1,1,60,1,3.75,3.75,N
153,703,2019-04-01,2023-09-21 13:21:23,3,17,459,N,1,1,38,2,7.5,3.75,N
154,709,2019-04-01,2023-09-21 12:30:46,3,17,120,N,1,1,44,2,5.0,2.5,N
155,711,2019-04-01,2023-09-21 18:34:56,3,12,136,N,1,1,60,2,7.5,3.75,N
156,724,2019-04-01,2023-09-21 13:05:56,3,17,596,Y,1,1,58,1,3.5,3.5,N
157,725,2019-04-01,2023-09-21 19:25:42,3,17,393,N,1,1,55,1,4.0,4.0,N
158,728,2019-04-01,2023-09-21 16:31:22,3,17,126,N,1,1,51,2,6.0,3.0,N
159,737,2019-04-01,2023-09-21 15:01:21,3,12,162,N,1,1,34,2,4.9,2.45,N
160,739,2019-04-01,2023-09-21 12:46:22,3,17,230,Y,1,1,56,1,2.55,2.55,N
161,755,2019-04-01,2023-09-21 18:43:42,3,12,290,Y,1,1,25,1,2.2,2.2,N
162,766,2019-04-01,2023-09-21 15:09:37,3,12,119,Y,1,1,22,1,2.0,2.0,N
163,770,2019-04-01,2023-09-21 17:22:29,3,17,332,N,1,1,58,2,7.0,3.5,N
164,771,2019-04-01,2023-09-21 16:38:05,3,12,138,Y,1,1,35,1,3.1,3.1,N
165,777,2019-04-01,2023-09-21 14:35:47,3,17,361,N,1,1,55,1,4.0,4.0,N
166,778,2019-04-01,2023-09-21 15:10:55,3,17,488,N,1,1,42,1,2.5,2.5,N
167,780,2019-04-01,2023-09-21 14:05:30,3,12,222,Y,1,1,60,1,3.75,3.75,N
168,782,2019-04-01,2023-09-21 18:00:34,3,17,141,Y,1,1,53,1,3.0,3.0,N
169,789,2019-04-01,2023-09-21 18:31:25,3,12,505,N,1,1,41,2,8.5,4.25,N
170,790,2019-04-01,2023-09-21 12:42:26,3,17,139,Y,1,1,53,1,3.0,3.0,N
171,793,2019-04-01,2023-09-21 13:09:20,3,17,473,N,1,1,26,1,3.0,3.0,N
172,798,2019-04-01,2023-09-21 19:29:01,3,17,329,Y,1,1,44,2,5.0,2.5,N
173,803,2019-04-01,2023-09-21 11:26:24,3,17,600,N,1,1,49,2,6.0,3.0,N
174,807,2019-04-01,2023-09-21 16:47:11,3,17,796,N,1,1,26,2,6.0,3.0,N
175,809,2019-04-01,2023-09-21 16:51:18,3,12,52,N,1,1,37,2,6.0,3.0,N
176,810,2019-04-01,2023-09-21 18:51:41,3,17,702,Y,1,1,28,1,2.0,2.0,N
177,820,2019-04-01,2023-09-21 19:21:29,3,12,466,N,1,1,51,1,3.0,3.0,N
178,820,2019-04-01,2023-09-21 19:21:29,3,12,466,N,1,5,74,1,3.5,3.5,N
179,823,2019-04-01,2023-09-21 19:32:22,3,17,24,Y,1,1,47,1,3.0,3.0,N
180,828,2019-04-01,2023-09-21 11:14:07,3,12,456,Y,1,1,52,1,2.5,2.5,N
181,831,2019-04-01,2023-09-21 19:38:46,3,12,406,N,1,1,55,2,8.0,4.0,N
182,855,2019-04-01,2023-09-21 15:12:22,3,12,637,N,1,1,24,1,3.0,3.0,N
183,859,2019-04-01,2023-09-21 17:44:28,3,12,209,Y,1,1,27,2,7.0,3.5,N
184,859,2019-04-01,2023-09-21 17:44:28,3,12,209,Y,1,5,74,1,3.5,3.5,N
185,861,2019-04-01,2023-09-21 13:09:03,3,17,438,Y,1,1,35,1,3.1,3.1,N
186,869,2019-04-01,2023-09-21 16:42:12,3,17,536,Y,1,1,36,2,7.5,3.75,N
187,873,2019-04-01,2023-09-21 19:07:26,3,17,550,Y,1,1,46,1,2.5,2.5,N
188,873,2019-04-01,2023-09-21 19:07:26,3,17,550,Y,1,5,78,1,4.5,4.5,N
189,889,2019-04-01,2023-09-21 16:58:31,3,12,548,N,1,1,45,2,6.0,3.0,N
190,889,2019-04-01,2023-09-21 16:58:31,3,12,548,N,1,5,70,1,3.25,3.25,N
191,891,2019-04-01,2023-09-21 12:12:21,3,17,662,Y,1,1,34,2,4.9,2.45,N
192,891,2019-04-01,2023-09-21 12:12:21,3,17,662,Y,1,5,71,1,3.75,3.75,N
193,901,2019-04-01,2023-09-21 15:09:38,3,12,341,Y,1,1,29,1,2.5,2.5,N
194,901,2019-04-01,2023-09-21 15:09:38,3,12,341,Y,1,5,71,1,3.75,3.75,N
195,902,2019-04-01,2023-09-21 13:23:54,3,17,685,N,1,1,58,2,7.0,3.5,N
196,917,2019-04-01,2023-09-21 19:10:16,3,12,631,Y,1,1,27,2,7.0,3.5,N
197,919,2019-04-01,2023-09-21 19:06:41,3,17,675,N,1,1,54,1,2.5,2.5,N
198,921,2019-04-01,2023-09-21 11:44:31,3,12,773,N,1,1,56,1,2.55,2.55,N
199,923,2019-04-01,2023-09-21 13:44:26,3,17,740,N,1,1,57,1,3.1,3.1,N
200,924,2019-04-01,2023-09-21 12:58:53,3,17,743,N,1,1,57,2,6.2,3.1,N
201,932,2019-04-01,2023-09-21 15:55:09,3,12,296,N,1,1,44,2,5.0,2.5,N
202,944,2019-04-01,2023-09-21 19:25:57,3,17,63,Y,1,1,50,2,5.0,2.5,N
203,944,2019-04-01,2023-09-21 19:25:57,3,17,63,Y,1,5,69,1,3.25,3.25,N
204,946,2019-04-01,2023-09-21 12:04:37,3,17,563,N,1,1,47,2,6.0,3.0,N
205,948,2019-04-01,2023-09-21 16:18:56,3,17,424,N,1,1,61,1,4.75,4.75,N
206,960,2019-04-01,2023-09-21 14:07:56,3,12,382,Y,1,1,23,1,2.5,2.5,N
207,964,2019-04-01,2023-09-21 12:33:20,3,12,608,Y,1,1,54,2,5.0,2.5,N
208,968,2019-04-01,2023-09-21 18:22:07,3,17,497,Y,1,1,53,1,3.0,3.0,N
209,969,2019-04-01,2023-09-21 15:19:19,3,17,313,N,1,1,43,1,3.0,3.0,N
210,984,2019-04-01,2023-09-21 15:17:06,3,12,81,N,1,1,53,1,3.0,3.0,N
211,988,2019-04-01,2023-09-21 16:58:33,3,12,384,Y,1,1,37,1,3.0,3.0,N
212,993,2019-04-01,2023-09-21 13:42:10,3,12,398,N,1,1,43,1,3.0,3.0,N
213,994,2019-04-01,2023-09-21 15:50:59,3,17,44,N,1,1,39,1,4.25,4.25,N
214,1000,2019-04-01,2023-09-21 16:07:20,3,17,732,N,1,1,23,2,5.0,2.5,N
215,1010,2019-04-01,2023-09-21 16:17:52,3,17,430,N,1,1,29,2,5.0,2.5,N
216,1014,2019-04-01,2023-09-21 13:19:36,3,12,601,N,1,1,23,1,2.5,2.5,N
217,1015,2019-04-01,2023-09-21 11:40:26,3,12,7,N,1,1,52,2,5.0,2.5,N
218,1017,2019-04-01,2023-09-21 11:15:33,3,17,318,Y,1,1,54,1,2.5,2.5,N
219,1018,2019-04-01,2023-09-21 19:39:00,3,17,467,Y,1,1,47,2,6.0,3.0,N
220,1023,2019-04-01,2023-09-21 15:27:11,3,12,434,Y,1,1,58,2,7.0,3.5,N
221,1033,2019-04-01,2023-09-21 14:53:00,3,12,781,N,1,1,43,1,3.0,3.0,N
222,1042,2019-04-01,2023-09-21 19:45:16,3,12,316,N,1,1,41,1,4.25,4.25,N
223,1046,2019-04-01,2023-09-21 19:38:00,3,12,399,N,1,1,33,1,3.5,3.5,N
224,1051,2019-04-01,2023-09-21 19:04:14,3,17,403,Y,1,1,29,2,5.0,2.5,N
225,1052,2019-04-01,2023-09-21 17:59:05,3,12,685,N,1,1,48,1,2.5,2.5,N
226,1057,2019-04-01,2023-09-21 15:44:32,3,17,409,N,1,1,44,2,5.0,2.5,N
227,1057,2019-04-01,2023-09-21 15:44:32,3,17,409,N,1,5,78,1,4.5,4.5,N
228,1064,2019-04-01,2023-09-21 17:32:16,3,12,557,Y,1,1,38,2,7.5,3.75,N
229,1065,2019-04-01,2023-09-21 12:33:35,3,17,231,Y,1,1,29,2,5.0,2.5,N
230,1071,2019-04-01,2023-09-21 11:36:00,3,17,571,N,1,1,40,2,7.5,3.75,N
231,1072,2019-04-01,2023-09-21 16:20:47,3,12,235,Y,1,1,41,1,4.25,4.25,N
232,1088,2019-04-01,2023-09-21 15:59:51,3,17,226,N,1,1,50,2,5.0,2.5,N
233,1093,2019-04-01,2023-09-21 16:03:30,3,17,745,N,1,1,34,2,4.9,2.45,N
234,1094,2019-04-01,2023-09-21 15:01:50,3,12,355,Y,1,1,27,1,3.5,3.5,N
235,1095,2019-04-01,2023-09-21 13:40:47,3,17,177,Y,1,1,54,2,5.0,2.5,N
236,1096,2019-04-01,2023-09-21 17:15:12,3,12,379,N,1,1,59,1,4.5,4.5,N
237,1108,2019-04-01,2023-09-21 11:36:56,3,17,654,Y,1,1,55,1,4.0,4.0,N
238,1114,2019-04-01,2023-09-21 17:10:35,3,12,428,N,1,1,59,1,4.5,4.5,N
239,1116,2019-04-01,2023-09-21 17:29:08,3,12,402,Y,1,1,37,1,3.0,3.0,N
240,1117,2019-04-01,2023-09-21 18:10:03,3,12,179,Y,1,1,58,1,3.5,3.5,N
241,1120,2019-04-01,2023-09-21 14:45:37,3,17,536,N,1,1,38,1,3.75,3.75,N
242,1123,2019-04-01,2023-09-21 12:09:46,3,17,299,N,1,1,26,2,6.0,3.0,N
243,1125,2019-04-01,2023-09-21 12:50:28,3,12,184,Y,1,1,32,2,6.0,3.0,N
244,1145,2019-04-01,2023-09-21 12:13:07,3,12,328,N,1,1,42,1,2.5,2.5,N
245,1146,2019-04-01,2023-09-21 17:22:36,3,17,574,N,1,1,36,1,3.75,3.75,N
246,1151,2019-04-01,2023-09-21 13:41:09,3,12,337,N,1,1,42,2,5.0,2.5,N
247,1167,2019-04-01,2023-09-21 17:51:22,3,12,5,N,1,1,53,1,3.0,3.0,N
248,1169,2019-04-01,2023-09-21 13:52:28,3,12,669,Y,1,1,56,2,5.1,2.55,N
249,1169,2019-04-01,2023-09-21 13:52:28,3,12,669,Y,1,5,70,1,3.25,3.25,N
250,1182,2019-04-01,2023-09-21 19:18:58,3,12,80,Y,1,1,53,1,3.0,3.0,N
251,1185,2019-04-01,2023-09-21 12:40:00,3,17,490,N,1,1,37,2,6.0,3.0,N
252,1185,2019-04-01,2023-09-21 12:40:00,3,17,490,N,1,5,69,1,3.25,3.25,N
253,1187,2019-04-01,2023-09-21 12:48:08,3,17,567,Y,1,1,38,2,7.5,3.75,N
254,1195,2019-04-01,2023-09-21 11:50:23,3,17,222,Y,1,1,36,2,7.5,3.75,N
255,1198,2019-04-01,2023-09-21 15:44:22,3,12,408,Y,1,1,38,2,7.5,3.75,N
256,1201,2019-04-01,2023-09-21 16:56:48,3,12,85,N,1,1,28,1,2.0,2.0,N
257,1206,2019-04-01,2023-09-21 15:52:23,3,12,540,N,1,1,29,2,5.0,2.5,N
258,1207,2019-04-01,2023-09-21 12:36:17,3,12,55,N,1,1,40,2,7.5,3.75,N
259,1207,2019-04-01,2023-09-21 12:36:17,3,12,55,N,1,5,71,1,3.75,3.75,N
260,1209,2019-04-01,2023-09-21 17:29:25,3,17,2,Y,1,1,46,1,2.5,2.5,N
261,1209,2019-04-01,2023-09-21 17:29:25,3,17,2,Y,1,5,75,1,3.5,3.5,N
262,1210,2019-04-01,2023-09-21 19:41:15,3,12,135,N,1,1,51,1,3.0,3.0,N
263,1230,2019-04-01,2023-09-21 15:27:54,3,12,227,N,1,1,56,1,2.55,2.55,N
264,1233,2019-04-01,2023-09-21 15:42:49,3,17,305,N,1,1,40,1,3.75,3.75,N
265,1238,2019-04-01,2023-09-21 12:43:33,3,17,453,Y,1,1,29,1,2.5,2.5,N
266,1247,2019-04-01,2023-09-21 11:33:29,3,12,146,Y,1,1,45,1,3.0,3.0,N
267,1247,2019-04-01,2023-09-21 11:33:29,3,12,146,Y,1,5,74,1,3.5,3.5,N
268,1257,2019-04-01,2023-09-21 13:35:04,3,12,646,N,1,1,30,2,6.0,3.0,N
269,1261,2019-04-01,2023-09-21 14:02:12,3,12,770,Y,1,1,49,1,3.0,3.0,N
270,1264,2019-04-01,2023-09-21 14:55:34,3,17,97,Y,1,1,34,2,4.9,2.45,N
271,1271,2019-04-01,2023-09-21 12:46:55,3,17,434,N,1,1,33,1,3.5,3.5,N
